Go Backend listening on port 3002
2026/06/24 22:47:24 [Go] Disarmed file | Format: Png | Original: 278794 bytes | Clean: 335419 bytes
2026/06/24 22:49:35 [Go] Disarmed file | Format: Png | Original: 278794 bytes | Clean: 335419 bytes
2026/06/24 22:56:05 [Go] Disarmed file | Format: Png | Original: 278794 bytes | Clean: 335419 bytes
2026/06/24 22:59:02 [Go] Disarmed file | Format: Png | Original: 41014 bytes | Clean: 87363 bytes
2026/06/24 23:02:36 [Go] Disarmed file | Format: Png | Original: 127704 bytes | Clean: 152486 bytes
2026/06/24 23:07:26 [Go] Disarmed file | Format: Png | Original: 57754 bytes | Clean: 76096 bytes
2026/06/25 01:22:01 [Go] Disarmed file | Format: Png | Original: 87653 bytes | Clean: 195108 bytes
2026/06/25 01:25:47 [Go] Disarmed file | Format: Png | Original: 87653 bytes | Clean: 195108 bytes
2026/06/25 01:26:16 [Go] Disarmed file | Format: Jpeg | Original: 162 bytes | Clean: 169 bytes
2026/06/25 01:28:42 [Go] Disarmed file | Format: Png | Original: 87653 bytes | Clean: 195108 bytes
2026/06/25 01:29:36 [Go] Disarmed file | Format: Png | Original: 127704 bytes | Clean: 152486 bytes
2026/06/25 01:37:32 [Go] Disarmed file | Format: Png | Original: 75 bytes | Clean: 162 bytes
2026/06/25 01:38:08 [Go] Disarmed file | Format: Png | Original: 75 bytes | Clean: 162 bytes
2026/06/25 01:38:14 [Go] Disarmed file | Format: Jpeg | Original: 162 bytes | Clean: 169 bytes
