Node.js Backend listening on port 3001
[Node.js] Disarmed file | Format: png | Original: 278794 bytes | Clean: 295848 bytes
[Node.js] Disarmed file | Format: png | Original: 41014 bytes | Clean: 42280 bytes
[Node.js] Disarmed file | Format: png | Original: 127704 bytes | Clean: 128793 bytes
[Node.js] Disarmed file | Format: png | Original: 57754 bytes | Clean: 63748 bytes
[Node.js] Disarmed file | Format: png | Original: 87653 bytes | Clean: 89013 bytes
[Node.js] Disarmed file | Format: png | Original: 87653 bytes | Clean: 89013 bytes
[Node.js] Disarmed file | Format: jpeg | Original: 162 bytes | Clean: 77 bytes
[Node.js] Disarmed file | Format: png | Original: 87653 bytes | Clean: 89013 bytes
[Node.js] Disarmed file | Format: png | Original: 127704 bytes | Clean: 128793 bytes
[Node.js] Disarmed file | Format: png | Original: 75 bytes | Clean: 74 bytes
[Node.js] Disarmed file | Format: png | Original: 75 bytes | Clean: 74 bytes
[Node.js] Disarmed file | Format: jpeg | Original: 162 bytes | Clean: 77 bytes
[Node.js] Disarmed file | Format: png | Original: 75 bytes | Clean: 74 bytes
[Node.js] Disarmed file | Format: png | Original: 127704 bytes | Clean: 128793 bytes
[Node.js] Disarmed file | Format: png | Original: 127704 bytes | Clean: 128793 bytes
[Node.js] Disarmed file | Format: png | Original: 127704 bytes | Clean: 128793 bytes
[Node.js] Disarmed file | Format: png | Original: 127704 bytes | Clean: 128793 bytes
